,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blue_top_lane_first_tower,blue_mid_lane_first_tower,blue_bot_lane_first_tower,red_top_lane_first_tower,red_mid_lane_first_tower,red_bot_lane_first_tower,blue_earth_dragon,blue_air_dragon,blue_fire_dragon,blue_water_dragon,blue_elder_dragon,red_earth_dragon,red_air_dragon,red_fire_dragon,red_water_dragon,red_elder_dragon
26,1,15880,1455,34,6.8,244,52,0,4,4,6,22,6,0,0,0,0,0,0,0,0,0,1,15890,1735,34,6.8,227,47,0,4,4,7,23,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,0,17060,4475,36,7.2,218,48,0,7,5,7,22,3,0,0,0,0,0,0,0,0,0,1,15570,4520,35,7.0,232,47,0,5,7,2,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,15780,2425,35,7.0,209,58,0,4,9,4,17,4,0,0,0,0,0,0,0,0,0,1,17982,1297,36,7.2,241,49,0,9,4,12,18,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,1,16420,3270,35,7.0,233,49,0,6,7,6,19,2,0,0,0,0,0,0,0,1,1,0,17891,3661,35,7.0,244,52,0,7,6,6,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0,14800,3150,34,6.8,273,45,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,14697,3957,35,7.0,262,66,0,0,0,0,16,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,0,16510,2110,33,6.6,206,45,0,7,12,8,15,5,0,0,0,0,0,0,0,1,1,0,18709,2459,36,7.2,213,48,0,12,7,17,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,1,15525,3615,35,7.0,254,60,0,3,3,5,20,8,0,0,0,0,0,0,0,0,0,0,15603,2618,34,6.8,261,53,0,3,3,1,28,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,1,19052,1302,35,7.0,199,60,0,13,10,18,18,6,0,0,0,0,0,0,0,1,1,0,18464,3194,34,6.8,228,44,0,10,13,10,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,1,16849,2024,35,7.0,231,48,0,7,3,10,40,3,0,0,0,0,0,0,0,1,1,0,14277,977,31,6.2,190,48,0,3,7,7,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,1,17473,3508,35,7.0,254,53,0,7,5,11,18,4,0,0,0,0,0,0,0,1,1,0,15376,2341,35,7.0,221,46,0,5,7,6,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,1,17086,1651,36,7.2,227,56,0,6,5,6,18,7,0,0,0,0,0,0,0,0,0,0,16615,1855,35,7.0,217,70,0,5,6,8,62,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,1,14917,2502,33,6.6,246,47,0,2,9,4,14,8,0,0,0,0,0,0,0,0,0,0,18873,3143,35,7.0,233,62,0,9,2,11,19,6,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1,17871,3446,37,7.4,257,53,0,7,2,10,19,6,0,0,0,0,0,0,0,1,1,1,14825,1960,33,6.6,249,43,0,2,7,4,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,1,15168,2913,36,7.2,241,50,0,3,5,4,38,25,0,0,0,0,0,0,0,1,1,0,15696,1931,35,7.0,211,46,0,5,3,5,69,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,1,18528,4268,36,7.2,246,40,0,10,5,15,19,7,0,0,0,0,0,0,0,0,0,0,15575,1525,33,6.6,200,63,0,5,10,8,22,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,16938,4013,36,7.2,266,72,0,4,2,6,40,7,0,0,0,0,0,0,0,1,1,0,14648,2913,33,6.6,239,48,0,2,4,2,41,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,0,14134,2759,33,6.6,221,48,0,2,7,1,16,4,0,0,0,0,0,0,0,1,1,0,17273,3358,34,6.8,222,46,0,7,2,11,19,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,0,15293,2868,36,7.2,244,63,0,3,2,4,17,5,0,0,0,0,0,0,0,1,1,1,16281,6051,35,7.0,263,60,0,2,3,4,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,0,15261,2869,33,6.6,206,40,0,3,7,5,30,4,0,0,0,0,0,0,0,0,0,1,16256,4986,35,7.0,238,50,0,7,3,5,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,16402,3367,34,6.8,239,63,0,5,6,5,21,3,0,0,0,0,0,0,0,0,0,1,16797,2477,35,7.0,252,60,0,6,5,5,21,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,1,18571,3581,36,7.2,239,51,0,7,6,7,16,1,0,0,0,0,0,0,0,1,1,0,16802,807,34,6.8,219,47,0,6,7,7,21,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,0,17212,3347,36,7.2,262,56,0,6,6,7,25,6,0,0,0,0,0,0,0,0,0,0,16491,3406,34,6.8,237,51,0,6,6,5,24,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0,14848,3243,35,7.0,234,84,0,1,3,3,19,4,0,0,0,0,0,0,0,1,1,0,15457,3332,34,6.8,259,44,0,3,1,4,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,1,17712,3012,36,7.2,239,51,0,8,3,10,18,4,0,0,0,0,0,0,0,1,1,1,14606,2886,35,7.0,223,42,0,3,8,7,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,0,17164,2764,35,7.0,254,60,0,6,12,6,37,7,0,0,0,0,0,0,0,0,0,0,19164,2389,38,7.6,232,60,0,12,6,25,17,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,1,16738,1938,33,6.6,213,50,0,7,5,11,21,5,0,0,0,0,0,0,0,0,0,0,15711,2261,34,6.8,226,46,0,5,7,6,21,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,1,16950,7870,36,7.2,285,56,0,4,2,7,19,7,0,0,0,0,0,0,0,1,1,0,14437,2087,36,7.2,229,44,0,2,4,4,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,0,15790,2590,36,7.2,238,60,0,4,3,3,19,1,0,0,0,0,0,0,0,1,1,0,16283,2513,36,7.2,264,52,0,3,4,4,20,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,0,14666,4866,35,7.0,248,53,0,1,4,1,17,4,0,0,0,0,0,0,0,1,1,1,15576,2849,33,6.6,231,44,0,4,1,7,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,0,16424,2312,34,6.8,218,45,0,3,9,3,22,5,1,0,1,0,0,1,0,0,0,0,18179,4119,36,7.2,231,58,0,9,3,13,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,15527,2902,36,7.2,242,64,0,2,5,2,19,3,0,0,0,0,0,0,0,0,0,0,16201,3391,37,7.4,247,52,0,5,2,3,30,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,0,14862,1567,33,6.6,231,46,0,3,9,3,40,6,0,0,0,0,0,0,0,0,0,0,18126,4651,35,7.0,233,42,0,9,3,14,44,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,15586,2061,33,6.6,211,50,0,5,8,6,36,1,0,0,0,0,0,0,0,1,1,0,16847,3647,35,7.0,219,33,0,8,5,10,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,0,14580,2585,34,6.8,189,55,0,2,4,3,36,4,0,0,0,0,0,0,0,0,0,0,16347,4277,35,7.0,237,60,0,4,2,5,63,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,1,16090,2170,34,6.8,228,38,0,6,5,5,20,3,0,0,0,0,0,0,0,0,0,0,16694,1674,36,7.2,244,58,0,5,6,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,16545,1285,35,7.0,222,49,0,6,5,8,17,3,0,0,0,0,0,0,0,0,0,0,16281,1686,35,7.0,228,60,0,5,6,5,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,16216,4051,34,6.8,227,55,0,5,2,8,20,5,0,0,0,0,0,0,0,1,1,1,14668,2103,33,6.6,220,44,0,2,5,3,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,0,14501,3751,33,6.6,224,54,0,2,7,3,18,5,0,0,0,0,0,0,0,0,0,0,18293,3968,34,6.8,214,57,0,7,2,12,19,3,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,0,17371,2645,34,6.8,249,38,0,7,6,8,25,4,0,0,0,0,0,0,0,0,0,0,16752,1647,34,6.8,219,49,0,6,7,11,20,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,0,16151,1301,35,7.0,240,56,0,5,5,6,21,5,0,0,0,0,0,0,0,0,0,0,15956,1806,34,6.8,241,52,0,5,5,7,17,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,1,15727,3547,34,6.8,251,45,0,4,2,4,37,4,0,0,0,0,0,0,0,0,0,0,15210,1715,34,6.8,246,55,0,2,4,3,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,19971,3686,38,7.6,241,56,0,14,5,12,16,3,0,0,0,0,0,0,0,0,0,1,15766,4711,34,6.8,195,52,0,5,14,6,34,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,1,20269,3408,38,7.6,254,49,0,14,3,19,17,7,0,0,0,0,0,0,0,0,0,1,14931,2756,33,6.6,223,52,0,3,14,1,52,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,1,14724,1809,34,6.8,223,56,0,3,2,2,14,3,0,0,0,0,0,0,0,1,1,1,14226,3256,32,6.4,206,52,0,2,3,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,1,18031,2046,35,7.0,210,43,0,10,8,13,15,8,0,0,0,0,0,0,0,0,0,0,17680,3580,34,6.8,212,68,0,8,10,13,22,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,0,13563,2228,31,6.2,185,44,0,2,8,1,31,1,0,0,0,0,0,0,0,0,0,0,18493,3802,36,7.2,259,68,0,8,2,13,12,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,0,16621,3086,36,7.2,263,72,0,3,3,2,16,3,0,0,0,0,0,0,0,1,1,0,15945,2455,34,6.8,246,56,0,3,3,2,89,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,0,14545,3030,33,6.6,227,48,0,2,5,4,15,4,0,0,0,0,0,0,0,0,0,0,16225,4495,34,6.8,248,54,0,5,2,7,62,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,0,16870,3035,35,7.0,237,54,0,5,9,5,39,7,0,0,0,0,0,0,0,0,0,0,18797,2742,36,7.2,256,54,0,9,5,12,18,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,0,16140,2050,35,7.0,243,63,0,4,4,5,42,1,0,0,0,0,0,0,0,0,0,1,16020,2390,35,7.0,246,63,0,4,4,4,16,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,0,15766,3087,34,6.8,203,53,0,5,13,3,21,3,0,0,0,0,0,0,0,0,0,0,18000,2755,34,6.8,188,40,0,13,5,12,37,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,1,16240,3310,35,7.0,256,63,0,4,2,5,17,4,0,0,0,0,0,0,0,1,1,0,14933,2383,35,7.0,231,48,0,2,4,4,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,0,15810,2835,36,7.2,256,60,0,3,5,2,17,4,0,0,0,0,0,0,0,1,1,0,16301,3026,35,7.0,224,64,0,5,3,6,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,0,18502,1787,34,6.8,205,55,0,6,11,7,17,6,1,0,1,0,1,0,0,0,0,1,18110,3629,36,7.2,229,41,0,11,6,22,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,15619,2739,35,7.0,260,39,0,4,9,4,17,7,0,0,0,0,0,0,0,0,0,0,18916,3766,35,7.0,235,59,0,9,4,11,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,16331,2551,35,7.0,252,57,0,3,6,3,18,5,0,0,0,0,0,0,0,0,0,0,16312,2687,36,7.2,205,58,0,6,3,7,26,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,1,19901,1001,35,7.0,244,52,0,12,7,11,42,5,0,0,0,0,0,0,0,1,1,0,15800,1320,33,6.6,158,36,0,7,12,9,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,1,17804,4894,35,7.0,218,60,0,9,4,13,16,3,0,0,0,0,0,0,0,1,1,0,15312,2802,33,6.6,218,47,0,4,9,3,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,1,16728,5328,35,7.0,242,56,0,5,5,12,43,5,0,0,0,0,0,0,0,1,1,0,16630,2865,35,7.0,247,55,0,5,5,9,42,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,0,16648,2942,33,6.6,198,42,0,7,11,11,27,3,0,0,0,0,0,0,0,0,0,0,19185,5305,36,7.2,246,57,0,11,7,14,43,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,1,16460,2305,35,7.0,222,46,0,7,5,8,21,4,0,0,0,0,0,0,0,1,1,0,15648,2488,34,6.8,208,48,0,5,7,8,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,1,15490,2550,36,7.2,260,61,0,2,2,2,41,9,0,0,0,0,0,0,0,1,1,0,15485,2785,36,7.2,258,66,0,2,2,2,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,1,14246,2551,33,6.6,215,52,0,2,4,3,23,6,0,0,0,0,0,0,0,1,1,1,15965,2265,34,6.8,250,52,0,4,2,6,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,0,15705,5575,34,6.8,252,64,0,2,7,4,17,0,0,0,0,0,0,0,0,1,1,1,18509,3204,37,7.4,273,59,0,7,2,9,74,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,1,16329,2159,36,7.2,246,66,0,4,3,9,92,1,0,0,0,0,0,0,0,0,0,1,15661,2936,34,6.8,238,59,0,3,4,4,13,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,0,15572,3452,35,7.0,226,65,0,3,8,4,19,3,0,0,0,0,0,0,0,0,0,0,17580,3860,36,7.2,243,52,0,8,3,10,15,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,0,16282,3395,33,6.6,237,40,0,6,11,10,25,6,0,0,0,0,0,0,0,0,0,0,18084,2659,34,6.8,208,43,0,11,6,19,130,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,0,17616,4840,34,6.8,225,45,0,8,3,12,18,5,0,0,0,0,0,0,0,0,0,0,17205,5430,34,6.8,256,63,0,3,8,5,22,4,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,13957,1882,31,6.2,181,27,0,4,11,5,18,2,0,0,0,0,0,0,0,0,0,0,19120,5540,36,7.2,251,52,0,11,4,15,22,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,16128,3023,36,7.2,269,45,0,3,2,4,43,3,0,0,0,0,0,0,0,0,0,1,15697,2322,35,7.0,271,73,0,2,3,3,51,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,15559,2934,34,6.8,237,50,0,3,5,1,14,5,0,0,0,0,0,0,0,0,0,1,16162,1787,34,6.8,221,57,0,5,3,10,16,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
